drug,mean_risk_contribution,n_high_risk_patients
olanzapine disintegrating,0.08482272,279
haloperidol,0.08180925,544
quetiapine fumarate,0.078271285,547
olanzapine,0.07525696,226
acetylcysteine,0.062398016,13
buprenorphine-naloxone -,0.057000756,11
hyoscyamine,0.053026587,53
risperidone,0.05152723,29
argatroban,0.05122474,19
scopolamine,0.043181468,137
valproate sodium,0.043013584,71
venlafaxine,0.041476823,25
succinylcholine,0.04043814,54
divalproex,0.040310316,13
clonidine,0.039042667,149
