outcome,feature_set,model,n,n_positive,auroc,auroc_ci_low,auroc_ci_high,auprc,f1,brier
aki_label,embedding,logistic_regression,9974,7312,0.7202691468138169,0.7093778820870237,0.7318481398547572,0.8692669232620301,0.8463525648911305,0.1723527671313688
aki_label,embedding,random_forest,9974,7312,0.7329950293210054,0.7227668040245567,0.7439917009969409,0.8796283918648572,0.8507199708366243,0.1699078114208052
aki_label,embedding,xgboost,9974,7312,0.7264531087910407,0.7157733049987793,0.7378078783840755,0.8777992779323767,0.8450826267252584,0.171516154873808
aki_label,embedding,mlp,9974,7312,0.6306265638691562,0.6177845579940494,0.6429406008612376,0.8063916877842217,0.7778082567549033,0.2959926925695337
aki_label,graph_theoretic,logistic_regression,9974,7312,0.7085114863209742,0.69750884188879,0.7195147741893075,0.8626890083571404,0.8434746118338229,0.1755269962621694
aki_label,graph_theoretic,random_forest,9974,7312,0.6621076250232216,0.650137411200847,0.6729533618121862,0.8412625693547103,0.8173131683857495,0.1925792594077935
aki_label,graph_theoretic,xgboost,9974,7312,0.7057045364124636,0.6953341172465547,0.716085256780622,0.8635869864236572,0.8371894267749221,0.1769144030148856
aki_label,graph_theoretic,mlp,9974,7312,0.711893070806077,0.701355376350391,0.7224868841126715,0.8660972624847589,0.8417418690569923,0.1749302187550499
aki_label,tabular,logistic_regression,9974,7312,0.6857702394672076,0.6741052493705577,0.6969991611257935,0.8478336572738028,0.8080187103240896,0.2095724325848263
aki_label,tabular,random_forest,9974,7312,0.7588347561597126,0.7482586392306215,0.7697368603549657,0.8898011786896096,0.8529786846420113,0.1640147450036762
aki_label,tabular,xgboost,9974,7312,0.7630217024349504,0.7526225436161802,0.7733991560487625,0.895900596028931,0.8510104179741433,0.1621928961956364
aki_label,tabular,mlp,9974,7312,0.6586804191251538,0.6472855237053733,0.6704449200735636,0.841460817689516,0.7788620120945574,0.2944629223921967
delirium_label,embedding,logistic_regression,9974,2679,0.8489199242400403,0.8409261953400616,0.8564413482719374,0.6589941384262907,0.5865467009425879,0.1345676891848465
delirium_label,embedding,random_forest,9974,2679,0.8494897613274724,0.840656654173239,0.8576316883254262,0.7102005971817174,0.5694084374263493,0.1326235779693871
delirium_label,embedding,xgboost,9974,2679,0.8759611283761881,0.8685476105122827,0.8827273151906286,0.7354925148686546,0.6252631578947369,0.1211970775172604
delirium_label,embedding,mlp,9974,2679,0.849162232283639,0.8417073828525078,0.8568175338546048,0.664014958782732,0.621068586585828,0.1818739423521693
delirium_label,graph_theoretic,logistic_regression,9974,2679,0.7376097850389174,0.7272802033174688,0.749174892942829,0.5210981689211717,0.3493780421849648,0.1671470448337935
delirium_label,graph_theoretic,random_forest,9974,2679,0.7181786294590397,0.7065514825322438,0.7290998337864226,0.5045878143949212,0.4383684446436575,0.1761435443263596
delirium_label,graph_theoretic,xgboost,9974,2679,0.7545226101726398,0.7437907463731883,0.7650595592001436,0.5510040291167293,0.4186620587509257,0.1623484808861542
delirium_label,graph_theoretic,mlp,9974,2679,0.7588484649858354,0.7480033706855871,0.7693703492910701,0.5611222950347854,0.4333251170815874,0.1607522715373149
bleeding_label,embedding,logistic_regression,9974,876,0.8104382919222549,0.7951973509325105,0.8248344148873272,0.3169461683209524,0.1538461538461538,0.069255959015739
bleeding_label,embedding,random_forest,9974,876,0.7867625580814088,0.7702993024281868,0.80304058540429,0.3365146312747415,0.1434426229508196,0.0691950627186239
bleeding_label,embedding,xgboost,9974,876,0.8379551278769684,0.8244185677441527,0.8517999311459384,0.3837576196699446,0.23710407239819,0.0652465124810397
bleeding_label,embedding,mlp,9974,876,0.7831449859520532,0.7675995172657057,0.7975281906798332,0.2600500437461303,0.3121175030599755,0.1006591641888178
bleeding_label,graph_theoretic,logistic_regression,9974,876,0.817035657392713,0.8021668532830656,0.8311624096894774,0.3176523236095147,0.1526570048309178,0.0695270709075926
bleeding_label,graph_theoretic,random_forest,9974,876,0.7606274297828517,0.7432374624018321,0.7764715322828728,0.2504885787499047,0.1949956859361518,0.076504773522269
bleeding_label,graph_theoretic,xgboost,9974,876,0.8068682112883457,0.7921094214307385,0.8210305836360082,0.2980421177610689,0.137524557956778,0.0702831436573672
bleeding_label,graph_theoretic,mlp,9974,876,0.8205078691588599,0.8058466807016159,0.8341737974655584,0.3203747782765017,0.1087179487179487,0.0685350806411787
bleeding_label,tabular,logistic_regression,9974,876,0.7223418815515679,0.7032447337182764,0.7420155780092723,0.2488687354351699,0.3167701863354037,0.1136561403145832
bleeding_label,tabular,random_forest,9974,876,0.8583229567238922,0.8459594789164814,0.8702177135917144,0.4305672867547296,0.1573033707865168,0.0635859623911057
bleeding_label,tabular,xgboost,9974,876,0.8636324682729206,0.8521418998284178,0.8748997155695685,0.4419104055337852,0.3382838283828382,0.0623185783460907
bleeding_label,tabular,mlp,9974,876,0.7637200860041498,0.7461140438403318,0.779188782595297,0.2666271222500423,0.3262411347517731,0.1219682477997009
delirium_label,tabular,logistic_regression,9974,2679,0.7842700096017536,0.7733914469972623,0.7951924601902892,0.5574489484521721,0.565377890033029,0.17306543836487923
delirium_label,tabular,random_forest,9974,2679,0.8475802583032911,0.8390115838068571,0.8558487554638665,0.6933051684066496,0.5397286821705426,0.13526437849519862
delirium_label,tabular,xgboost,9974,2679,0.8581575122529174,0.8501370148603717,0.866449772544044,0.7038672687073007,0.6055567709472763,0.1282933900329686
delirium_label,tabular,mlp,9974,2679,0.7719071313680055,0.762011760386869,0.7824670752437528,0.5659165073714835,0.5447236180904522,0.20804813872438585
